0.00,6106.80,4943.02,6318.98,5366.93,3090.29,2101.38,1325.02,2169.31,1085.93,714.51,3355.25,2096.49,1041.30,1839.47,1473.75,2557.36,2126.32,1791.68,3816.19,2726.73,1290.53,6616.53,641.19,3378.59,5641.93,4997.20,1674.20,2663.18,3258.46,6729.57,311.71
6074.09,0.00,3180.42,10475.04,13444.56,2960.62,10194.89,5502.58,8703.69,6068.19,8942.54,11335.88,10174.83,7603.02,9764.91,8951.77,10523.27,6519.66,4994.77,11895.29,10806.84,9131.79,14694.86,6443.53,4226.84,1701.88,9111.11,6064.87,10742.28,11338.56,14808.91,5724.12
4979.05,3170.46,0.00,11853.48,10901.43,2774.06,7650.29,5726.09,6159.08,3667.58,6397.94,8792.75,7630.99,5203.19,7220.31,6407.94,7978.67,4121.30,6130.53,9350.69,8262.24,6589.42,12151.03,5157.84,1683.01,2441.92,10531.70,5948.93,8197.68,8793.96,12265.07,4438.43
6281.73,10495.87,11878.20,0.00,2135.04,8761.02,4262.04,6741.61,7857.70,6757.43,5681.24,5153.62,4386.93,6789.49,4578.23,5654.96,4414.56,7874.51,6405.33,3761.15,3614.82,5023.47,1033.45,5716.83,10397.77,12661.11,1249.31,5788.44,3946.07,3404.44,420.03,5983.91
5335.82,13471.52,10932.29,2134.34,0.00,7815.10,3232.13,5795.69,6911.79,5810.74,4735.32,4207.70,3440.26,5759.58,3632.32,4707.58,3468.64,6844.60,5416.41,1400.39,2668.90,4161.55,2372.78,4769.45,9451.86,11715.20,812.56,4842.53,3000.15,2458.53,2545.93,5037.99
3066.07,2998.06,2782.94,8771.81,7819.77,0.00,5234.96,2494.57,5310.16,1354.53,3855.36,6496.09,5236.56,4182.14,4980.54,4613.81,5690.43,4143.85,2899.00,6949.03,6114.57,3671.60,9756.60,3436.98,1814.79,2014.80,8130.04,3557.41,5803.25,6400.29,9862.64,2717.58
2064.70,10213.29,7675.52,4278.02,3241.97,5226.28,0.00,2472.15,3576.79,3255.93,1416.51,1133.75,357.37,2510.81,331.32,1374.81,337.43,3593.60,2807.87,1692.70,604.24,842.97,4491.57,1453.11,6117.62,8380.97,2872.24,2592.53,557.44,1573.66,4607.08,1720.18
1138.53,5529.22,5721.61,6786.14,5834.09,2512.71,2458.29,0.00,3374.61,2068.28,1738.65,3772.93,2515.64,2246.59,2259.62,2466.51,2855.57,4693.85,339.92,4135.87,3047.41,1610.75,7059.69,951.44,4155.71,6420.53,5440.36,997.63,3082.32,3666.46,7175.20,807.16
2156.09,8652.06,6114.30,7804.55,6852.50,5323.38,3525.36,3550.11,0.00,4796.57,2305.45,4184.13,3499.53,916.24,3088.85,2275.01,3847.21,2025.14,4017.54,5217.76,4129.31,2379.63,8018.10,2620.05,4548.40,6813.21,6398.77,3653.83,4066.22,4662.50,8132.14,2546.27
1101.14,6063.52,3668.28,6806.88,5854.83,1380.91,3306.28,2071.29,4842.82,0.00,1890.42,4531.15,3272.39,2217.20,3016.37,2649.64,3729.68,2805.04,2476.49,4992.09,3903.64,1707.43,7792.43,1472.81,2103.85,4367.20,6173.10,2294.90,3839.08,4435.36,7906.47,752.64
714.58,8901.20,6363.44,5681.05,4729.00,3882.63,1416.45,1749.45,2318.74,1876.81,0.00,2633.32,1374.56,1189.72,1118.54,751.82,1837.77,2273.51,2181.70,3095.02,2006.57,568.60,5894.60,628.41,4797.54,7062.35,4275.27,1744.42,1941.24,2538.29,6008.64,1103.29
